Investigador_A,Investigador_B,Tipo
Viviana Rodas,María Paz Miró,Proyecto conjunto
Viviana Rodas,Paulo Reyes,Contacto ocasional
Viviana Rodas,Felipe Araya,Coautoría
Viviana Rodas,Camila Leiva,Colaboración frecuente
María Paz Miró,Marc Soler,Coautoría
María Paz Miró,Laura Fernández,Proyecto conjunto
María Paz Miró,Felipe Araya,Contacto ocasional
Felipe Araya,Camila Leiva,Colaboración frecuente
Kenji Nakamura,Amara Okafor,Proyecto conjunto
Kenji Nakamura,Priya Mehta,Coautoría
Amara Okafor,Priya Mehta,Contacto ocasional
Elena Papadopoulos,Daniela Contreras,Proyecto conjunto
Sofía Herrera,Tomás Vidal,Contacto ocasional
